,Session ID,stem2,stem3
0,0,netwo deliv integ algor locat simul resil routi drone fleet traff conge,netwo algor
1,1,netwo const facil plann susta water,plann susta
2,2,netwo pande uncer disru predi,netwo pande predi
3,3,capac plann retai quali priva,
4,4,simul resil pande capac disru borde,simul resil disru
5,5,netwo deliv integ const capac disru mixed stoch two-s traff port,integ const
6,6,netwo deliv integ const locat route capac routi mixed vehic linea food sched insec decom non-p banks,deliv route capac routi mixed vehic linea food sched
7,7,simul fleet marit,simul
8,8,netwo locat cover heuri np-ha,locat
9,9,facil resil uncer disas alloc relie stoch two-s human,uncer stoch two-s
10,10,netwo integ const route routi mixed linea fleet energ vesse,integ mixed energ
11,11,netwo manuf uncer hyper,
12,12,deliv integ route manuf truck combi,route truck
13,13,deliv manuf retai,deliv manuf
14,14,locat servi susta food insec hunge agric,food insec
15,15,const algor route heuri combi,algor
